step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
1920,1.092259,,3.45e-05,417468,0.5542,1389.2,244052540,627.9
1930,1.169736,,3.39e-05,327292,0.41,1395.6,245318172,800.9
1940,1.116461,,3.35e-05,378368,0.5009,1402.2,246656572,692.8
1950,0.924484,,3.30e-05,524981,0.5386,1408.5,247910620,499.3
1960,0.966057,,3.26e-05,409718,0.5407,1414.7,249139804,639.8
1970,1.061403,,3.22e-05,376538,0.5165,1421.5,250513084,696.2
1980,1.082003,,3.18e-05,387712,0.5263,1428.1,251848668,676.1
1990,0.95585,,3.15e-05,562132,0.6214,1434.5,253116188,466.3
2000,1.105433,,3.12e-05,340665,0.5354,1441.2,254461372,769.5
2000,,1.307611,,,,,,
2010,0.885934,,3.09e-05,649800,0.6162,1465.8,255540476,403.4
2020,0.945619,,3.07e-05,552706,0.6256,1471.7,256699452,474.3
2030,0.953668,,3.05e-05,424798,0.5173,1478.2,257960828,617.1
2040,1.066149,,3.03e-05,368413,0.4597,1485.1,259350364,711.5
2050,0.973855,,3.02e-05,432604,0.5229,1491.6,260650076,606.0
2060,1.092402,,3.01e-05,389230,0.641,1498.5,262029148,673.5
2070,1.141762,,3.00e-05,388724,0.5115,1505.0,263321820,674.4
2080,1.151531,,3.00e-05,325893,0.4547,1511.2,264539932,804.4
2085,,1.314185,,,,,,
