step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
1150,2.849749,,0.000345,400051.0,0.2001,807.5,301727744.0,655.3
1160,2.814057,,0.000348,400478.0,0.1913,814.0,304349184.0,654.6
1170,2.801929,,0.000351,400309.0,0.2245,820.6,306970624.0,654.9
1180,2.809787,,0.000354,398379.0,0.2038,827.1,309592064.0,658.0
1190,2.840232,,0.000357,400819.0,0.2589,833.7,312213504.0,654.0
1200,2.799778,,0.00036,399110.0,0.1866,840.2,314834944.0,656.8
1210,2.82255,,0.000363,398875.0,0.1848,846.8,317456384.0,657.2
1220,2.765923,,0.000366,399230.0,0.1935,853.4,320077824.0,656.6
1230,2.746338,,0.000369,400521.0,0.1899,859.9,322699264.0,654.5
1240,2.768895,,0.000372,400624.0,1.5477,866.5,325320704.0,654.3
1250,2.804063,,0.000375,400566.0,0.187,873.0,327942144.0,654.4
1260,2.736771,,0.000378,400931.0,0.2135,879.6,330563584.0,653.8
1270,2.714718,,0.000381,400235.0,0.1806,886.1,333185024.0,655.0
1280,2.717829,,0.000384,401342.0,0.1749,892.7,335806464.0,653.2
1290,2.817488,,0.000387,401823.0,0.3803,899.2,338427904.0,652.4
1300,2.752057,,0.00039,399287.0,0.1873,905.8,341049344.0,656.5
1310,2.71083,,0.000393,399979.0,0.1741,912.3,343670784.0,655.4
1320,2.763183,,0.000396,400097.0,0.1723,918.9,346292224.0,655.2
1330,2.70739,,0.000399,401353.0,0.1585,925.4,348913664.0,653.2
1340,2.788698,,0.000402,400067.0,0.1849,932.0,351535104.0,655.3
1350,2.76175,,0.000405,401063.0,0.1686,938.5,354156544.0,653.6
1360,2.709729,,0.000408,399571.0,0.178,945.1,356777984.0,656.1
1370,2.713157,,0.000411,400117.0,0.157,951.6,359399424.0,655.2
1380,2.720188,,0.000414,398831.0,0.215,958.2,362020864.0,657.3
1390,2.720306,,0.000417,400429.0,0.1691,964.8,364642304.0,654.7
1400,2.690371,,0.00042,400754.0,0.1669,971.3,367263744.0,654.1
1410,2.689866,,0.000423,399904.0,0.1857,977.9,369885184.0,655.5
1420,2.67444,,0.000426,401394.0,0.1647,984.4,372506624.0,653.1
1430,2.716944,,0.000429,399355.0,0.1611,991.0,375128064.0,656.4
1440,2.664012,,0.000432,398301.0,0.2284,997.6,377749504.0,658.2
1450,2.599912,,0.000435,401422.0,0.1645,1004.1,380370944.0,653.0
1460,2.644161,,0.000438,400986.0,0.1537,1010.6,382992384.0,653.7
1470,2.692137,,0.000441,400083.0,0.1936,1017.2,385613824.0,655.2
1480,2.666113,,0.000444,398129.0,0.1476,1023.8,388235264.0,658.4
1490,2.664579,,0.000447,401281.0,0.1575,1030.3,390856704.0,653.3
1500,2.649482,,0.00045,400389.0,0.151,1036.9,393478144.0,654.7
1510,2.655186,,0.000453,399489.0,0.4562,1045.0,396099584.0,656.2
1520,2.5959,,0.000456,400865.0,0.154,1051.6,398721024.0,653.9
1530,2.639987,,0.000459,399686.0,0.1442,1058.1,401342464.0,655.9
1540,2.591131,,0.000462,399612.0,0.2341,1064.7,403963904.0,656.0
1550,2.703705,,0.000465,399714.0,0.1543,1071.3,406585344.0,655.8
1560,2.6106,,0.000468,399303.0,0.1459,1077.8,409206784.0,656.5
1570,2.645752,,0.000471,400139.0,0.1402,1084.4,411828224.0,655.1
1580,2.58775,,0.000474,401243.0,0.1377,1090.9,414449664.0,653.3
1590,2.650859,,0.000477,400878.0,0.1568,1097.5,417071104.0,653.9
1600,2.646735,,0.00048,401387.0,0.1374,1104.0,419692544.0,653.1
1610,2.5712,,0.000483,400357.0,0.1336,1110.6,422313984.0,654.8
1620,2.647142,,0.000486,398962.0,0.1407,1117.2,424935424.0,657.1
1630,2.575079,,0.000489,399882.0,0.1423,1123.7,427556864.0,655.6
1640,2.662937,,0.000492,398340.0,0.1603,1130.3,430178304.0,658.1
1650,2.600446,,0.000495,401277.0,0.1629,1136.8,432799744.0,653.3
1660,2.566736,,0.000498,399987.0,0.1347,1143.4,435421184.0,655.4
1670,2.617574,,0.000501,401204.0,0.1355,1149.9,438042624.0,653.4
1680,2.6505,,0.000504,400514.0,0.1385,1156.5,440664064.0,654.5
1690,2.615599,,0.000507,399528.0,0.1354,1163.1,443285504.0,656.1
1700,2.63289,,0.00051,399823.0,0.1277,1169.6,445906944.0,655.7
1710,2.565787,,0.000513,399014.0,0.1343,1176.2,448528384.0,657.0
1720,2.609021,,0.000516,399858.0,0.1311,1182.7,451149824.0,655.6
1730,2.567946,,0.000519,400495.0,0.1363,1189.3,453771264.0,654.5
1740,2.557499,,0.000522,399548.0,0.1253,1195.9,456392704.0,656.1
1750,2.604657,,0.000525,400226.0,0.1265,1202.4,459014144.0,655.0
1760,2.558086,,0.000528,401100.0,0.1294,1209.0,461635584.0,653.6
1770,2.556907,,0.000531,399756.0,0.1458,1215.5,464257024.0,655.8
1780,2.526961,,0.000534,400051.0,0.1297,1222.1,466878464.0,655.3
1790,2.521357,,0.000537,401785.0,0.1965,1228.6,469499904.0,652.4
1800,2.541446,,0.00054,398414.0,0.1311,1235.2,472121344.0,658.0
1810,2.527352,,0.000543,398696.0,0.1291,1241.8,474742784.0,657.5
1820,2.567776,,0.000546,399821.0,0.1356,1248.3,477364224.0,655.7
1830,2.529776,,0.000549,400241.0,0.1181,1254.9,479985664.0,655.0
1840,2.490618,,0.000552,400045.0,0.1257,1261.4,482607104.0,655.3
1850,2.440666,,0.000555,398094.0,0.1217,1268.0,485228544.0,658.5
1860,2.531187,,0.000558,399244.0,0.1194,1274.6,487849984.0,656.6
1870,2.572762,,0.000561,399567.0,0.1273,1281.1,490471424.0,656.1
1880,2.585367,,0.000564,398576.0,0.1183,1287.7,493092864.0,657.7
1890,2.561268,,0.000567,399636.0,0.1168,1294.2,495714304.0,656.0
1900,2.544523,,0.00057,401935.0,0.115,1300.8,498335744.0,652.2
1910,2.518927,,0.000573,399597.0,0.1203,1307.3,500957184.0,656.0
1920,2.497913,,0.000576,400257.0,0.12,1313.9,503578624.0,654.9
1930,2.513294,,0.000579,398634.0,0.1194,1320.5,506200064.0,657.6
1940,2.517221,,0.000582,398654.0,0.1211,1327.0,508821504.0,657.6
1950,2.491107,,0.000585,401003.0,0.1114,1333.6,511442944.0,653.7
1960,2.448119,,0.000588,400508.0,0.1117,1340.1,514064384.0,654.5
1970,2.460285,,0.000591,399345.0,0.1168,1346.7,516685824.0,656.4
1980,2.489377,,0.000594,399567.0,0.1195,1353.2,519307264.0,656.1
1990,2.509406,,0.000597,399413.0,0.1086,1359.8,521928704.0,656.3
2000,2.474255,,0.0006,399081.0,0.1225,1366.4,524550144.0,656.9
2010,2.54518,,0.0006,400854.0,0.1231,1389.3,527171584.0,654.0
2020,2.552512,,0.0006,398107.0,0.1162,1395.9,529793024.0,658.5
2030,2.601649,,0.0006,400198.0,0.1098,1402.4,532414464.0,655.0
2040,2.518264,,0.0006,400650.0,0.1105,1408.9,535035904.0,654.3
2050,2.477748,,0.0006,399166.0,0.1063,1415.5,537657344.0,656.7
2060,2.575796,,0.0006,401019.0,0.1144,1422.0,540278784.0,653.7
2070,2.485828,,0.0006,400397.0,0.1088,1428.6,542900224.0,654.7
2080,2.466662,,0.0006,400277.0,0.49,1435.2,545521664.0,654.9
2090,2.47121,,0.0006,401242.0,0.1091,1441.7,548143104.0,653.3
2100,2.531258,,0.0006,399921.0,0.1334,1448.3,550764544.0,655.5
2110,2.4438,,0.0006,399562.0,0.1082,1454.8,553385984.0,656.1
2120,2.436496,,0.0006,399450.0,0.1087,1461.4,556007424.0,656.3
2130,2.491891,,0.0006,400201.0,0.1096,1467.9,558628864.0,655.0
2140,2.475684,,0.0006,400781.0,0.111,1474.5,561250304.0,654.1
2150,2.498744,,0.0006,400701.0,0.1073,1481.1,563871744.0,654.2
2160,2.578056,,0.0006,398870.0,0.1081,1487.6,566493184.0,657.2
2170,2.445271,,0.0006,400056.0,0.1065,1494.2,569114624.0,655.3
2180,2.450312,,0.0006,400764.0,0.1064,1500.7,571736064.0,654.1
2190,2.402681,,0.0006,401986.0,0.1079,1507.3,574357504.0,652.1
2200,2.389638,,0.0006,400703.0,0.1115,1513.8,576978944.0,654.2
2210,2.439314,,0.0006,400104.0,0.1138,1520.4,579600384.0,655.2
2220,2.432867,,0.0006,398919.0,0.1031,1527.0,582221824.0,657.1
2230,2.448932,,0.0006,398881.0,0.1616,1533.5,584843264.0,657.2
2240,2.472453,,0.0006,399515.0,0.1034,1540.1,587464704.0,656.2
2250,2.549687,,0.0006,400156.0,0.1059,1546.6,590086144.0,655.1
2260,2.320601,,0.0006,400842.0,0.1086,1553.2,592707584.0,654.0
2270,2.374569,,0.0006,399456.0,0.1052,1559.7,595329024.0,656.3
2280,2.401552,,0.0006,400118.0,2.06,1566.3,597950464.0,655.2
2290,2.446365,,0.0006,399825.0,0.1034,1572.9,600571904.0,655.6
2300,2.399859,,0.0006,399097.0,0.1134,1579.4,603193344.0,656.8
2310,2.433084,,0.0006,399217.0,0.1606,1586.0,605814784.0,656.6
2320,2.370739,,0.0006,400802.0,0.1088,1592.5,608436224.0,654.0
2330,2.438796,,0.0006,399605.0,0.1144,1599.1,611057664.0,656.0
2340,2.459471,,0.0006,399265.0,0.109,1605.6,613679104.0,656.6
2350,2.39598,,0.0006,400631.0,0.131,1612.2,616300544.0,654.3
2360,2.446084,,0.0006,401693.0,0.1098,1618.8,618921984.0,652.6
2370,2.405174,,0.0006,400679.0,0.1076,1625.3,621543424.0,654.2
2380,2.42038,,0.0006,400631.0,0.106,1631.9,624164864.0,654.3
2390,2.404817,,0.0006,399421.0,0.1048,1638.4,626786304.0,656.3
2400,2.404609,,0.0006,399777.0,0.1041,1645.0,629407744.0,655.7
2410,2.418915,,0.0006,398995.0,0.1062,1651.6,632029184.0,657.0
2420,2.377647,,0.0006,399878.0,0.1004,1658.1,634650624.0,655.6
2430,2.39961,,0.0006,400599.0,0.1021,1664.7,637272064.0,654.4
2440,2.448033,,0.0006,398297.0,0.1012,1671.2,639893504.0,658.2
2450,2.396869,,0.0006,399475.0,0.101,1677.8,642514944.0,656.2
2460,2.372247,,0.0006,401959.0,0.0964,1684.3,645136384.0,652.2
2470,2.408656,,0.0006,401485.0,0.1024,1690.9,647757824.0,652.9
2480,2.442205,,0.0006,398860.0,0.1015,1697.5,650379264.0,657.2
2490,2.364997,,0.0006,402271.0,0.0996,1704.0,653000704.0,651.7
2500,2.365649,,0.0006,400407.0,0.0996,1710.6,655622144.0,654.7
2510,2.44841,,0.0006,400245.0,0.0974,1718.7,658243584.0,655.0
2520,2.375624,,0.0006,401770.0,0.0986,1725.3,660865024.0,652.5
2530,2.366516,,0.0006,401012.0,0.0957,1731.8,663486464.0,653.7
2540,2.361211,,0.0006,398878.0,0.0998,1738.4,666107904.0,657.2
2550,2.351698,,0.0006,399648.0,0.0966,1744.9,668729344.0,655.9
2560,2.415964,,0.0006,398860.0,0.0977,1751.5,671350784.0,657.2
2570,2.399568,,0.0006,399790.0,0.0962,1758.0,673972224.0,655.7
2580,2.357037,,0.0006,400111.0,0.0973,1764.6,676593664.0,655.2
2590,2.417408,,0.0006,399986.0,0.0975,1771.1,679215104.0,655.4
2600,2.329641,,0.0006,400192.0,0.0999,1777.7,681836544.0,655.0
2610,2.365458,,0.0006,399704.0,0.1045,1784.2,684457984.0,655.8
2620,2.405073,,0.0006,401363.0,0.0934,1790.8,687079424.0,653.1
2630,2.391265,,0.0006,401044.0,0.1012,1797.4,689700864.0,653.7
2640,2.299125,,0.0006,401092.0,0.0935,1803.9,692322304.0,653.6
2650,2.398196,,0.0006,399039.0,0.0914,1810.5,694943744.0,656.9
2660,2.312062,,0.0006,399976.0,0.0891,1817.0,697565184.0,655.4
2670,2.313209,,0.0006,399449.0,0.094,1823.6,700186624.0,656.3
2680,2.393612,,0.0006,400574.0,0.0959,1830.2,702808064.0,654.4
2690,2.339391,,0.0006,399513.0,0.1135,1836.7,705429504.0,656.2
2700,2.34697,,0.0006,400959.0,0.1005,1843.3,708050944.0,653.8
2710,2.317857,,0.0006,399657.0,0.1007,1849.8,710672384.0,655.9
2720,2.340579,,0.0006,399908.0,0.0987,1856.4,713293824.0,655.5
2730,2.331253,,0.0006,398793.0,0.0935,1862.9,715915264.0,657.3
2740,2.308339,,0.0006,400103.0,0.0939,1869.5,718536704.0,655.2
2750,2.385162,,0.0006,398808.0,0.0908,1876.1,721158144.0,657.3
2760,2.255071,,0.0006,400143.0,0.0936,1882.6,723779584.0,655.1
2770,2.326062,,0.0006,399356.0,0.0931,1889.2,726401024.0,656.4
2780,2.2855,,0.0006,401974.0,0.0954,1895.7,729022464.0,652.1
2790,2.304837,,0.0006,399500.0,0.3183,1902.3,731643904.0,656.2
2800,2.32523,,0.0006,400957.0,0.0916,1908.8,734265344.0,653.8
2810,2.32208,,0.0006,401265.0,0.0905,1915.4,736886784.0,653.3
2820,2.292845,,0.0006,399124.0,0.0929,1921.9,739508224.0,656.8
2830,2.276947,,0.0006,399687.0,0.0911,1928.5,742129664.0,655.9
2840,2.325494,,0.0006,400292.0,0.0926,1935.0,744751104.0,654.9
2850,2.335156,,0.0006,399633.0,0.0912,1941.6,747372544.0,656.0
2860,2.328738,,0.0006,399895.0,0.0932,1948.1,749993984.0,655.5
2870,2.380455,,0.0006,399388.0,0.1157,1954.7,752615424.0,656.4
2880,2.289372,,0.0006,399900.0,0.1018,1961.3,755236864.0,655.5
2890,2.255264,,0.0006,401342.0,0.0927,1967.8,757858304.0,653.2
2900,2.370409,,0.0006,399634.0,0.1067,1974.4,760479744.0,656.0
2910,2.318964,,0.0006,400290.0,0.0911,1980.9,763101184.0,654.9
2920,2.295402,,0.0006,399091.0,0.0954,1987.5,765722624.0,656.9
2930,2.288048,,0.0006,399203.0,0.0915,1994.1,768344064.0,656.7
2940,2.343405,,0.0006,400795.0,0.0927,2000.6,770965504.0,654.1
2950,2.287075,,0.0006,399360.0,0.0996,2007.2,773586944.0,656.4
2960,2.318511,,0.0006,399738.0,0.1366,2013.7,776208384.0,655.8
2970,2.315698,,0.0006,398944.0,0.0951,2020.3,778829824.0,657.1
2980,2.286894,,0.0006,401609.0,0.1036,2026.8,781451264.0,652.7
2990,2.226526,,0.0006,400022.0,0.0985,2033.4,784072704.0,655.3
3000,2.27324,,0.0006,401307.0,0.0908,2039.9,786694144.0,653.2
3010,2.268233,,0.0006,403723.0,0.0897,2064.1,789315584.0,649.3
3020,2.34319,,0.0006,402946.0,0.0923,2070.6,791937024.0,650.6
3030,2.264089,,0.0006,401875.0,0.0881,2077.2,794558464.0,652.3
3040,2.274221,,0.0006,399107.0,0.3227,2083.7,797179904.0,656.8
3050,2.288761,,0.0006,399972.0,0.0894,2090.3,799801344.0,655.4
3060,2.276822,,0.0006,399372.0,0.0906,2096.9,802422784.0,656.4
3070,2.228809,,0.0006,399520.0,0.0905,2103.4,805044224.0,656.1
3080,2.298898,,0.0006,401075.0,0.0866,2110.0,807665664.0,653.6
3090,2.262964,,0.0006,399365.0,0.0918,2116.5,810287104.0,656.4
